country,urban_pop,life_expect,measles_1,measles_2,diphtheria_1,diphtheria_3,polio_1,polio_3
AFG,25.495,64.486,64,39,73,66,66,73
AGO,65.514,60.782,45,26,67,55,,53
ALB,60.319,78.458,96,98,99,98,98,98
AND,88.062,,97,90,99,98,,98
ARE,86.522,77.814,99,99,99,99,99,99
ARG,91.87,76.52,90,88,97,92,56,87
ARM,63.149,74.945,97,97,97,94,34,96
ATG,24.599,76.885,88,68,97,92,86,87
AUS,86.012,83.281,95,94,98,94,,94
AUT,58.297,81.434,95,89,95,87,,87
AZE,55.68,72.864,98,98,98,97,88,98
BDI,13.032,61.247,93,72,97,94,60,94
BEL,98.001,81.468,96,85,99,98,,98
BEN,47.312,61.47,68,,84,76,62,75
BFA,29.358,61.174,88,59,95,91,,91
BGD,36.632,72.32,97,92,99,98,11,98
BGR,75.008,74.928,92,88,94,92,,92
BHR,89.287,77.163,99,99,99,99,99,99
BHS,83.025,73.752,89,74,95,94,95,94
BIH,48.245,77.262,68,78,90,78,58,79
BLR,78.595,74.59,98,98,99,98,,98
BLZ,45.724,74.496,95,96,98,95,93,96
BOL,69.425,71.239,94,,93,87,92,87
BRA,86.569,75.672,95,77,95,89,80,72
BRB,31.147,79.081,92,87,99,97,99,97
BRN,77.629,75.722,98,97,99,99,,99
BTN,40.895,71.46,97,90,99,98,90,97
BWA,69.446,69.275,97,74,98,95,49,96
CAF,41.364,52.805,49,,69,47,47,47
CAN,81.411,82.315,89,86,95,91,,91
CHE,73.797,83.63,94,87,98,96,,96
CHL,87.564,80.042,93,87,99,95,99,95
CHN,59.152,76.704,99,99,99,99,,99
CIV,50.779,57.422,71,,96,85,50,71
CMR,56.374,58.921,78,,92,85,79,83
COD,44.46,60.368,77,,80,79,57,74
COG,66.916,64.29,67,,76,71,33,71
COK,75.052,,90,90,99,99,99,99
COL,80.778,77.109,93,87,93,91,92,91
COM,28.965,64.118,90,,96,91,91,92
CPV,65.732,72.782,93,92,96,96,,95
CRI,79.34,80.095,93,87,99,97,,97
CUB,77.037,78.726,99,99,99,99,99,98
CYP,66.81,80.828,90,88,98,97,,97
CZE,73.792,79.222,98,93,98,96,,96
DEU,77.312,81.18,97,93,98,93,,93
DJI,77.777,66.582,75,81,74,68,46,68
DMA,70.483,,96,92,99,99,99,99
DNK,87.874,80.784,94,85,97,94,,94
DOM,81.074,73.892,85,,98,87,96,82
DZA,72.629,76.693,94,96,96,91,94,91
ECU,63.821,76.8,86,64,94,83,79,79
EGY,42.704,71.825,95,96,96,95,,95
ERI,40.08,65.941,99,88,97,95,,95
ESP,80.321,83.433,97,95,98,97,,97
EST,68.88,78.567,93,92,94,93,,93
ETH,20.763,66.24,66,,85,73,,74
FIN,85.382,81.736,94,85,99,92,,92
FJI,56.248,67.341,94,94,99,99,99,99
FRA,80.444,82.541,90,80,99,96,,96
FSM,22.703,67.755,70,45,95,69,,68
GAB,89.37,66.187,64,,83,75,74,74
GBR,83.398,81.236,92,89,98,94,,94
GEO,58.632,73.6,93,85,97,92,97,92
GHA,56.06,63.78,89,75,94,93,,95
GIN,36.14,61.185,48,,63,45,45,45
GMB,61.27,61.735,97,79,99,95,95,95
GNB,43.36,58.003,86,,89,88,30,89
GNQ,72.143,58.402,30,,40,19,12,20
GRC,79.058,82.072,97,83,99,99,,99
GRD,36.272,72.384,95,85,98,96,90,98
GTM,51.054,74.063,86,65,96,80,91,82
GUY,26.606,69.774,99,94,97,97,98,94
HND,57.096,75.088,96,,94,94,94,94
HRV,56.947,78.342,90,96,98,93,,93
HTI,55.278,63.66,69,26,84,64,45,64
HUN,71.351,76.701,99,99,99,99,,99
IDN,55.325,71.509,76,55,85,79,2,80
IND,34.03,69.416,88,76,91,88,47,86
IRL,63.17,82.103,92,,98,95,,95
IRN,74.898,76.479,99,98,99,99,,99
IRQ,70.473,70.454,80,78,87,73,,77
ISL,93.813,82.855,91,95,96,91,,91
ISR,92.418,82.819,97,97,94,94,94,94
ITA,70.438,83.352,87,82,98,94,,93
JAM,55.674,74.368,95,85,99,99,95,99
JOR,90.979,74.405,96,99,99,98,99,98
JPN,91.616,84.47,96,93,99,99,,99
KAZ,57.428,73.236,99,99,93,82,93,82
KEN,27.03,66.342,96,32,96,89,70,88
KGZ,36.351,71.321,97,98,97,96,,97
KHM,23.388,69.57,84,67,94,93,82,91
KIR,54.057,68.116,80,79,82,81,81,82
KNA,30.776,,94,96,99,97,93,99
KOR,81.459,82.846,98,97,98,98,,98
KWT,100,75.398,99,99,99,99,98,99
LAO,35.004,67.61,66,,72,66,51,66
LBN,88.593,78.875,82,63,96,83,96,81
LBR,51.151,63.73,80,,99,79,,79
LBY,80.102,72.724,97,96,98,97,98,97
LCA,18.678,76.057,99,88,95,95,95,95
LKA,18.476,76.812,99,99,99,99,99,99
LSO,28.153,53.705,90,82,98,93,44,90
LTU,67.679,75.737,94,92,97,94,,94
LUX,90.981,82.102,99,86,99,99,,99
LVA,68.142,75.172,93,89,99,98,,98
MAR,62.453,76.453,99,99,99,99,95,99
MCO,100,,88,79,99,99,,99
MDA,42.629,71.808,88,95,94,89,,91
MDG,37.191,66.681,59,,84,77,49,75
MDV,39.808,78.627,99,99,99,99,99,99
MEX,80.156,74.992,96,98,96,93,96,96
MHL,77.031,,75,49,87,71,,69
MKD,57.963,75.688,82,93,97,95,97,95
MLI,42.356,58.893,66,,78,69,42,67
MLT,94.612,82.376,93,86,97,97,,97
MMR,30.579,66.867,91,86,94,90,72,89
MNE,66.813,76.77,47,86,97,89,97,89
MNG,68.445,69.689,98,90,99,99,,99
MOZ,35.988,60.163,85,36,90,80,72,80
MRT,53.672,64.704,72,,86,74,65,73
MUS,40.793,74.863,92,92,97,96,96,96
MWI,16.937,63.798,81,61,89,84,,83
MYS,76.036,75.997,93,99,98,95,,98
NAM,50.032,63.373,75,,90,85,46,84
NER,16.425,62.024,76,31,92,80,62,82
NGA,50.344,54.332,65,,70,57,57,57
NIC,58.522,74.275,99,,99,98,99,99
NIU,44.785,,99,99,99,99,,99
NLD,91.49,82.143,94,91,98,95,,95
NOR,82.248,82.271,96,91,99,96,,96
NPL,19.74,70.478,83,25,92,87,77,85
NRU,100,,98,97,99,97,97,97
NZL,86.538,82.145,92,89,92,92,,92
OMN,84.539,77.633,99,99,99,99,99,99
PAK,36.666,67.114,75,67,82,75,56,75
PAN,67.709,78.329,95,93,96,86,96,86
PER,77.907,76.516,88,66,94,89,94,88
PHL,46.907,71.095,80,47,87,86,37,72
PLW,79.93,,96,95,99,98,,98
PNG,13.169,64.263,70,,87,72,14,73
POL,60.058,78.544,96,93,99,98,,92
PRK,61.899,72.095,99,98,97,96,52,99
PRT,65.211,81.857,98,95,99,98,,98
PRY,61.585,74.131,85,87,94,92,94,93
PSE,76.164,73.895,99,99,99,99,,99
QAT,99.135,80.1,99,92,99,98,99,98
ROU,53.998,75.924,86,76,94,89,,89
RUS,74.433,72.386,98,97,97,97,97,97
RWA,17.211,68.7,95,90,99,98,,99
SAU,83.844,74.998,98,96,98,98,98,97
SDN,34.642,65.095,86,69,97,93,64,93
SEN,47.192,67.665,93,75,96,93,72,92
SGP,100,83.458,95,88,98,97,98,96
SLB,23.749,72.835,82,,99,94,67,89
SLE,42.055,54.309,85,50,97,84,,84
SLV,72.023,73.096,90,87,97,93,90,95
SMR,97.226,,82,81,93,86,,88
SOM,44.971,57.068,46,,52,42,,47
SRB,56.092,75.849,82,90,97,92,97,93
SSD,19.615,57.604,51,,58,45,34,45
STP,72.803,70.17,93,76,97,96,67,96
SUR,66.06,71.57,97,43,92,91,96,91
SVK,53.726,77.388,95,97,99,96,,96
SVN,54.541,81.172,92,93,98,94,,94
SWE,87.431,82.654,97,95,99,98,,98
SWZ,23.799,59.401,89,76,96,90,45,90
SYC,56.691,73.333,97,99,98,96,99,96
SYR,54.162,71.779,62,52,61,42,58,48
TCD,23.059,53.977,37,,55,41,41,44
TGO,41.702,60.76,87,,93,89,,89
THA,49.949,76.931,99,95,99,99,,99
TJK,27.134,70.879,97,97,98,96,,97
TKM,51.593,68.073,99,99,99,98,,98
TLS,30.578,69.26,74,30,86,79,48,79
TON,23.131,70.801,84,85,83,78,82,80
TTO,53.184,73.38,86,65,97,97,96,84
TUN,68.945,76.505,96,97,99,98,98,98
TUR,75.143,77.437,98,85,99,98,96,98
TUV,62.387,,96,92,99,94,,94
TZA,33.776,65.015,90,71,99,97,,93
UGA,23.774,62.973,79,,99,93,44,97
UKR,69.352,71.953,42,31,42,19,75,56
URY,95.334,77.77,95,92,97,95,,95
USA,82.256,78.851,92,94,98,95,,94
UZB,50.478,71.573,99,99,99,99,,99
VCT,52.198,72.415,99,99,99,99,99,99
VEN,88.208,72.128,88,53,97,84,68,82
VNM,35.919,75.317,99,95,96,96,,95
VUT,25.274,70.323,84,,93,81,50,81
WSM,18.243,73.187,68,44,95,80,94,77
YEM,36.642,66.096,70,49,76,71,61,65
ZAF,66.355,63.857,85,63,86,76,86,76
ZMB,43.521,63.51,93,58,99,91,,87
ZWE,32.209,61.195,95,63,94,90,,90